IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ARM,Armenia,Year,2018,true,,,,,,,,,,,,,10,,,17,,6,10 [17 – 6],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,GEO,Georgia,Year,2018,true,,,,,,,,,,,,,10,,,18,,6,10 [18 – 6],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2018,true,,,,,,,,,,,,,11,,,22,,5,11 [22 – 5],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2018,true,,,,,,,,,,,,,12,,,18,,7,12 [18 – 7],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2018,true,,,,,,,,,,,,,12,,,21,,6,12 [21 – 6],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ALB,Albania,Year,2018,true,,,,,,,,,,,,,13,,,17,,9,13 [17 – 9],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,POL,Poland,Year,2018,true,,,,,,,,,,,,,13,,,20,,8,13 [20 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2018,true,,,,,,,,,,,,,13,,,22,,8,13 [22 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,HRV,Croatia,Year,2018,true,,,,,,,,,,,,,13,,,23,,7,13 [23 – 7],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2018,true,,,,,,,,,,,,,14,,,21,,10,14 [21 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2018,true,,,,,,,,,,,,,14,,,22,,8,14 [22 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,CUB,Cuba,Year,2018,true,,,,,,,,,,,,,14,,,23,,8,14 [23 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ESP,Spain,Year,2018,true,,,,,,,,,,,,,15,,,23,,10,15 [23 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,AUT,Austria,Year,2018,true,,,,,,,,,,,,,15,,,25,,8,15 [25 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ITA,Italy,Year,2018,true,,,,,,,,,,,,,16,,,24,,10,16 [24 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,MNE,Montenegro,Year,2018,true,,,,,,,,,,,,,16,,,25,,10,16 [25 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,PAN,Panama,Year,2018,true,,,,,,,,,,,,,16,,,25,,10,16 [25 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,IRL,Ireland,Year,2018,true,,,,,,,,,,,,,16,,,25,,9,16 [25 – 9],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2018,true,,,,,,,,,,,,,16,,,26,,10,16 [26 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2018,true,,,,,,,,,,,,,16,,,26,,9,16 [26 – 9],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,COM,Comoros,Year,2018,true,,,,,,,,,,,,,16,,,28,,8,16 [28 – 8],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,HND,Honduras,Year,2018,true,,,,,,,,,,,,,17,,,26,,10,17 [26 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,SRB,Serbia,Year,2018,true,,,,,,,,,,,,,17,,,26,,10,17 [26 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,MLT,Malta,Year,2018,true,,,,,,,,,,,,,17,,,27,,10,17 [27 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2018,true,,,,,,,,,,,,,18,,,25,,12,18 [25 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2018,true,,,,,,,,,,,,,18,,,28,,11,18 [28 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,PRT,Portugal,Year,2018,true,,,,,,,,,,,,,18,,,29,,10,18 [29 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2018,true,,,,,,,,,,,,,18,,,29,,11,18 [29 – 11],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,GRC,Greece,Year,2018,true,,,,,,,,,,,,,18,,,30,,10,18 [30 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,ROU,Romania,Year,2018,true,,,,,,,,,,,,,18,,,30,,10,18 [30 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,EUR,Europe,Country,SVK,Slovakia,Year,2018,true,,,,,,,,,,,,,18,,,30,,10,18 [30 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,URY,Uruguay,Year,2018,true,,,,,,,,,,,,,18,,,32,,10,18 [32 – 10],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2018,true,,,,,,,,,,,,,19,,,27,,13,19 [27 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2018,true,,,,,,,,,,,,,19,,,28,,12,19 [28 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2018,true,,,,,,,,,,,,,19,,,28,,12,19 [28 – 12],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,AMR,Americas,Country,DOM,Dominican Republic,Year,2018,true,,,,,,,,,,,,,19,,,29,,13,19 [29 – 13],,,EN,2021-05-05T21:00:00.000Z
SDGIPVLT,Proportion of ever-partnered women and girls aged 15–49 years subjected to physical and/or sexual violence by a current or former intimate partner in their lifetime,numeric,WPR,Western Pacific,Country,LAO,Lao People's Democratic Republic,Year,2018,true,,,,,,,,,,,,,19,,,30,,11,19 [30 – 11],,,EN,2021-05-05T21:00:00.000Z
